FEATURE	FORM	READ_BY	STATUS	ADD_READS
2dGridBlocker	alias	FProcessor_2dGridBlocker_Requests	PER_FIELD	Grid,Name
2dGridCell	alias	-	SETUP_BAKED	-
2dGridObject	alias	-	SETUP_BAKED	-
2dGridPlacement	alias	-	SETUP_BAKED	-
2dGridSystem	alias	FProcessor_2dGridSystem_DebugDrawAll	PER_FIELD	Dimensions,ResolvedActiveCoordinates
Acceleration	wrapper	FProcessor_BulkAccelerationModifier_AddNewTargets	PER_FIELD	StartingAcceleration
AccelerationModifier	none	-	VIA_REBUILD	-
Aggro	none	-	VIA_REBUILD	CapParams,DefaultTargetParams,EvaluationParams,SelectionParams
AggroTarget	none	-	VIA_REBUILD	-
AnimAsset	wrapper	-	SETUP_BAKED	AnimationAsset
AnimPlan	wrapper	FProcessor_AnimPlan_HandleRequests,FProcessor_AnimPlan_Replicate	PER_FIELD	AnimGoal,StartingAnimCluster,StartingAnimState
AudioDirector	alias	FProcessor_AudioDirector_EndPlay,FProcessor_AudioDirector_HandleRequests	BARE_OK	-
AudioTrack	alias	FProcessor_AudioTrack_DebugDraw_All_NonSpatial,FProcessor_AudioTrack_DebugDraw_All_Spatial	MANUAL	-
AutoReorient	wrapper	FProcessor_AutoReorient_OrientTowardsVelocity	REGISTERED	-
BallisticMotion	alias	FProcessor_BallisticMotion_HandleImpacts,FProcessor_BallisticMotion_HandleRequests	BARE_OK	-
BulkAccelerationModifier	wrapper	FProcessor_BulkAccelerationModifier_HandleRequests	MANUAL	-
BulkVelocityModifier	wrapper	FProcessor_BulkVelocityModifier_HandleRequests	MANUAL	-
ByteAttribute	none	-	VIA_REBUILD	BaseValue,MaxValue,MinMax,MinValue,Name
ByteAttributeModifier	none	-	VIA_REBUILD	-
Camera	wrapper	-	SETUP_BAKED	OutputComponent,Profile
CameraShake	wrapper	FProcessor_CameraShake_HandleRequests	PER_FIELD	Name
Compass	alias	FProcessor_Compass_EndPlay,FProcessor_Compass_HandleRequests	BARE_OK	-
CrowdAgent	alias	FProcessor_CrowdAgent_AccelClamp,FProcessor_CrowdAgent_AvoidanceSample	PER_FIELD	AgentMode,ArrivalRadius,Height,Radius
DialogEmitter	alias	FProcessor_DialogEmitter_EvaluateQueries,FProcessor_DialogEmitter_HandleRequests	BARE_OK	-
DialogLine	alias	-	SETUP_BAKED	-
EntityCollection	wrapper	FProcessor_EntityCollection_FireSignals,FProcessor_EntityCollection_Replicate	PER_FIELD	Name
EntityTag	none	-	VIA_REBUILD	-
FloatAttribute	none	-	REGISTERED	BaseValue,EnableRefill,MaxValue,MinMax,MinValue,Name,RefillParams
FloatAttributeModifier	none	-	VIA_REBUILD	-
FloatAttributeRefill	none	-	VIA_REBUILD	-
FogOfWar	alias	FProcessor_FogOfWar_HandleRequests,FProcessor_FogOfWar_Update	PER_FIELD	Bounds
GeometryCollection	wrapper	FProcessor_GeometryCollection_CrumbleNonActiveClusters,FProcessor_GeometryCollection_HandleRequests	PER_FIELD	GeometryCollection
Goap	none	-	VIA_REBUILD	-
Goap_WorldState	alias	-	SETUP_BAKED	-
Homing	alias	FProcessor_Homing_HandleRequests,FProcessor_Homing_Update	PER_FIELD	GuidanceSettings,StartingState
IntegerAttribute	none	-	VIA_REBUILD	BaseValue,EnableRefill,MaxValue,MinMax,MinValue,Name,RefillParams
IntegerAttributeModifier	none	-	VIA_REBUILD	-
IntegerAttributeRefill	none	-	VIA_REBUILD	-
InteractSource	wrapper	FProcessor_InteractSource_EndPlay,FProcessor_InteractSource_HandleRequests	PER_FIELD	InteractionChannel
InteractTarget	wrapper	FProcessor_InteractTarget_EndPlay,FProcessor_InteractTarget_HandleRequests	PER_FIELD	InteractionChannel
Interaction	wrapper	FProcessor_Interaction_EndPlay,FProcessor_Interaction_HandleRequests	PER_FIELD	CompletionPolicy,InteractionChannel,InteractionDuration,Source,Target
Inventory	alias	FProcessor_Inventory_DataOnly_Replicate,FProcessor_Inventory_FireSignals	MANUAL	-
Inventory_DataOnly	alias	-	SETUP_BAKED	Name
Inventory_Spatial	alias	-	SETUP_BAKED	Name
IskmProxy	alias	FProcessor_IskmProxy_HandleRequests	PER_FIELD	Renderer
IsmProxy	alias	FProcessor_IsmProxy_AddInstance,FProcessor_IsmProxy_EndPlay	PER_FIELD	IsmRenderer,StartingState
JoltBody	alias	FProcessor_JoltBody_EndPlay	PER_FIELD	InitialSleepState,MotionType,PersistContacts
JoltCharacter	alias	FProcessor_JoltCharacter_EndPlay,FProcessor_JoltCharacter_PreStep	BARE_OK	-
JoltConstraint	alias	FProcessor_JoltConstraint_HandleRequests	MANUAL	-
Marker	wrapper	FProcessor_Marker_EndPlay,FProcessor_Marker_HandleRequests	PER_FIELD	MarkerName
Minimap	alias	FProcessor_Minimap_EndPlay,FProcessor_Minimap_HandleRequests	BARE_OK	-
MontagePlayer	wrapper	FProcessor_MontagePlayer_HandleRequests,FProcessor_MontagePlayer_MonitorAnimInstance	PER_FIELD	SkeletalMeshComponent
MultipleAnimAsset	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleAnimPlan	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleByteAttribute	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleCameraShake	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleEntityCollection	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleFloatAttribute	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleIntegerAttribute	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleInteractSource	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleInteractTarget	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleInteraction	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleInventory_DataOnly	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleInventory_Spatial	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
